#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
19339,2016-01-17 05:23:08.38,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
19338,2016-01-17 05:23:17.19,40.840172,14.13567,0.9,D,0.4,0.3,flegrei,earthquake,Bollettino
19337,2016-01-17 05:23:27.57,40.83717,14.13617,1.63,D,0.2,0.3,flegrei,earthquake,Bollettino
19336,2016-01-17 05:23:49.98,40.838329,14.136,1.66,D,0.2,0.3,flegrei,earthquake,Bollettino
19335,2016-01-26 04:55:28.52,40.824501,14.13917,0.88,D,0.7,0.3,flegrei,earthquake,Bollettino
19334,2016-02-05 13:19:03.02,40.855671,14.1465,2.41,D,0.5,0.3,flegrei,earthquake,Bollettino
19333,2016-02-06 16:42:56.56,40.825161,14.14367,0.53,D,-0.3,0.3,flegrei,earthquake,Bollettino
19332,2016-02-10 04:20:25.9,40.823002,14.14867,1.48,D,0.4,0.3,flegrei,earthquake,Bollettino
19331,2016-02-10 04:21:15.54,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
19330,2016-03-02 15:45:35.65,40.827839,14.14233,0.7,D,-0.5,0.3,flegrei,earthquake,Bollettino
19328,2016-03-21 08:42:33.74,40.824329,14.13267,1.81,D,-1.1,0.3,flegrei,earthquake,Bollettino
19327,2016-03-21 17:16:04.84,40.82267,14.13267,1.92,D,0.1,0.3,flegrei,earthquake,Bollettino
19326,2016-03-21 23:05:54.39,40.823002,14.13,1.8,D,0.2,0.3,flegrei,earthquake,Bollettino
19325,2016-03-24 10:59:36.67,40.820671,14.1395,1.68,D,0.5,0.3,flegrei,earthquake,Bollettino
19324,2016-03-24 10:59:51.36,40.82333,14.1395,1.29,D,0.5,0.3,flegrei,earthquake,Bollettino
19323,2016-03-24 11:03:04.88,40.82317,14.13583,1.87,D,0.6,0.3,flegrei,earthquake,Bollettino
19322,2016-03-29 12:57:04.48,40.82267,14.14267,0.64,D,-0.3,0.3,flegrei,earthquake,Bollettino
19321,2016-04-04 09:04:41.23,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
19320,2016-04-04 16:39:11.69,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
19319,2016-04-08 16:34:03.82,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
19318,2016-04-08 16:43:47.67,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
19317,2016-04-08 17:13:00.6,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
