,#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Level,test,sum
0,21798,2014-02-15T05:59:44.260000Z,40.868832,14.08433,7.24,D,0.1,0.3,Bollettino,21808,54.953162
1,21795,2014-03-20T04:35:53.340000Z,40.826,14.1516,1.8,D,0.9,0.3,Bollettino,21805,54.9776
2,21794,2014-03-23T22:20:02.090000Z,40.831329,14.15667,2.0,D,-0.1,0.3,Bollettino,21804,54.987998999999995
3,21793,2014-03-31T22:59:07.810000Z,,,,D,-1.1,0.3,Bollettino,21803,
4,21792,2014-03-31T22:59:11.850000Z,,,,D,-1.1,0.3,Bollettino,21802,
5,21791,2014-03-31T22:59:44.030000Z,,,,D,-1.1,0.3,Bollettino,21801,
6,21790,2014-03-31T23:00:57.200000Z,,,,D,-1.1,0.3,Bollettino,21800,
7,21789,2014-03-31T23:01:00.700000Z,,,,D,-1.6,0.3,Bollettino,21799,
8,21788,2014-03-31T23:01:04.900000Z,,,,D,-1.6,0.3,Bollettino,21798,
9,21787,2014-03-31T23:01:09.060000Z,,,,D,-1.6,0.3,Bollettino,21797,
10,21786,2014-03-31T23:01:14.550000Z,,,,D,-0.8,0.3,Bollettino,21796,
11,21785,2014-03-31T23:01:34.960000Z,,,,,,,Bollettino,21795,
12,21784,2014-03-31T23:01:36.600000Z,,,,,,,Bollettino,21794,
13,21783,2014-03-31T23:01:37.830000Z,,,,,,,Bollettino,21793,
14,21782,2014-03-31T23:01:40.280000Z,,,,,,,Bollettino,21792,
15,21781,2014-03-31T23:01:42.260000Z,,,,,,,Bollettino,21791,
16,21780,2014-03-31T23:01:43.920000Z,,,,,,,Bollettino,21790,
17,21779,2014-03-31T23:01:49.550000Z,,,,D,-0.3,0.3,Bollettino,21789,
18,21778,2014-03-31T23:01:55.490000Z,,,,D,-0.8,0.3,Bollettino,21788,
19,21777,2014-03-31T23:02:01.640000Z,,,,D,-0.8,0.3,Bollettino,21787,
20,21776,2014-03-31T23:02:06.520000Z,,,,,,,Bollettino,21786,
21,21775,2014-03-31T23:02:15.260000Z,,,,D,-1.1,0.3,Bollettino,21785,
22,21774,2014-03-31T23:02:36.300000Z,,,,D,-0.8,0.3,Bollettino,21784,
23,21773,2014-03-31T23:02:47.020000Z,,,,D,-1.1,0.3,Bollettino,21783,
24,21772,2014-03-31T23:03:05.040000Z,,,,,,,Bollettino,21782,
25,21771,2014-03-31T23:03:13.080000Z,,,,D,-0.8,0.3,Bollettino,21781,
26,21770,2014-03-31T23:03:21.560000Z,,,,D,-0.8,0.3,Bollettino,21780,
27,21769,2014-03-31T23:03:33.010000Z,,,,,,,Bollettino,21779,
28,21768,2014-03-31T23:03:37.530000Z,,,,,,,Bollettino,21778,
29,21767,2014-03-31T23:03:39.490000Z,,,,,,,Bollettino,21777,
30,21766,2014-03-31T23:03:50.230000Z,,,,D,-1.1,0.3,Bollettino,21776,
31,21765,2014-03-31T23:04:21.820000Z,,,,D,-0.5,0.3,Bollettino,21775,
