#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
10626,2018-01-03 13:36:31.5,40.82933,14.14,0.83,D,-0.8,0.3,flegrei,earthquake,Bollettino
10625,2018-01-03 13:36:57.64,40.825329,14.14017,1.15,D,-0.3,0.3,flegrei,earthquake,Bollettino
10624,2018-01-03 13:41:01.37,40.826,14.13667,1.28,D,-0.1,0.3,flegrei,earthquake,Bollettino
10623,2018-01-03 13:43:44.04,40.823669,14.14017,0.79,D,-0.5,0.3,flegrei,earthquake,Bollettino
100,2018-01-04 03:38:07.95,40.823167,14.1265,0.94,,,,flegrei,earthquake,Automatico
10602,2018-01-07 20:03:46.51,40.82283,14.13467,1.5,D,-0.5,0.3,flegrei,earthquake,Bollettino
10598,2018-01-07 22:52:53.78,40.82333,14.13367,1.3,D,-0.3,0.3,flegrei,earthquake,Bollettino
10580,2018-01-11 00:17:29.32,40.839828,14.146,1.54,D,0.1,0.3,flegrei,earthquake,Bollettino
10561,2018-01-15 20:52:35.76,40.821171,14.13483,1.38,D,-0.3,0.3,flegrei,earthquake,Bollettino
10560,2018-01-15 20:52:42.89,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
10559,2018-01-15 20:53:20.68,40.825161,14.13233,1.5,D,-0.1,0.3,flegrei,earthquake,Bollettino
10558,2018-01-15 21:00:14.05,40.8255,14.13783,2.07,D,0.5,0.3,flegrei,earthquake,Bollettino
10557,2018-01-15 21:05:28.68,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
10554,2018-01-15 22:02:31.72,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
10553,2018-01-15 22:03:04.35,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
10552,2018-01-15 22:04:36.57,40.826328,14.13217,1.28,D,0.5,0.3,flegrei,earthquake,Bollettino
113,2018-01-15 22:06:29.94,40.844333,14.132833,0.27,,,,flegrei,earthquake,Automatico
10551,2018-01-15 22:06:30.27,40.826672,14.13017,0.82,D,0.7,0.3,flegrei,earthquake,Bollettino
10550,2018-01-15 22:07:33.69,40.825161,14.13183,0.97,D,0.4,0.3,flegrei,earthquake,Bollettino
115,2018-01-15 22:15:10.289,40.831,14.092667,2.53,,,,flegrei,earthquake,Automatico
10549,2018-01-15 22:15:11.37,40.827839,14.12983,1.07,D,0.6,0.3,flegrei,earthquake,Bollettino
10548,2018-01-15 22:26:36.79,40.825668,14.13083,0.92,D,0.9,0.3,flegrei,earthquake,Bollettino
116,2018-01-15 22:26:36.89,40.829667,14.1285,0.74,,,,flegrei,earthquake,Automatico
10547,2018-01-16 00:09:22.86,40.826832,14.12933,1.09,D,0.8,0.3,flegrei,earthquake,Bollettino
10545,2018-01-16 02:40:28.75,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
10544,2018-01-16 04:44:28.4,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
10529,2018-01-21 18:12:39.84,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
10527,2018-01-22 06:59:13.1,40.824001,14.14033,1.13,D,0.6,0.3,flegrei,earthquake,Bollettino
10525,2018-01-22 16:37:36.14,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
10524,2018-01-23 08:26:27.78,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
10523,2018-01-23 08:48:55.82,40.826172,14.14533,1.21,D,0.1,0.3,flegrei,earthquake,Bollettino
10520,2018-01-23 23:06:21.01,40.820999,14.136,1.51,D,0.7,0.3,flegrei,earthquake,Bollettino
10519,2018-01-23 23:06:31.59,40.820332,14.1365,1.5,D,0.5,0.3,flegrei,earthquake,Bollettino
10505,2018-01-26 05:01:15.49,40.826172,14.1435,0.61,D,-0.8,0.3,flegrei,earthquake,Bollettino
10504,2018-01-26 06:17:12.71,40.82383,14.14983,0.6,D,-0.1,0.3,flegrei,earthquake,Bollettino
10499,2018-01-27 10:30:07.56,40.825329,14.144,1.33,D,0.2,0.3,flegrei,earthquake,Bollettino
10498,2018-01-27 10:33:09,40.827499,14.145,1.24,D,1.0,0.3,flegrei,earthquake,Bollettino
10497,2018-01-27 10:33:40.11,40.826672,14.14683,1.09,D,0.2,0.3,flegrei,earthquake,Bollettino
10496,2018-01-27 10:36:39.72,40.831829,14.14367,1.52,D,1.2,0.3,flegrei,earthquake,Bollettino
124,2018-01-27 10:36:39.75,40.834333,14.141,0.32,,,,flegrei,earthquake,Automatico
10495,2018-01-27 10:49:24.34,40.827499,14.146,0.77,D,0.1,0.3,flegrei,earthquake,Bollettino
10480,2018-01-29 02:00:49.53,40.82283,14.142,0.85,D,0.2,0.3,flegrei,earthquake,Bollettino
10470,2018-01-31 02:26:19,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
10469,2018-01-31 02:26:55.7,40.82383,14.14517,0.47,D,-0.5,0.3,flegrei,earthquake,Bollettino
10468,2018-01-31 02:27:03.68,40.82317,14.14267,0.65,D,-0.5,0.3,flegrei,earthquake,Bollettino
10467,2018-01-31 02:27:05.96,40.823502,14.14117,0.68,D,-0.3,0.3,flegrei,earthquake,Bollettino
10466,2018-01-31 02:27:13.24,40.82383,14.14583,0.57,D,-0.8,0.3,flegrei,earthquake,Bollettino
10465,2018-01-31 17:44:39.3,,,,D,-1.6,0.3,flegrei,earthquake,Bollettino
10457,2018-02-04 17:56:16.02,,,,,,,flegrei,earthquake,Bollettino
127,2018-02-04 17:56:23.4,,,,D,0.2,0.3,flegrei,earthquake,Bollettino
10456,2018-02-04 17:56:37.28,,,,D,-1.1,0.3,flegrei,earthquake,Bollettino
10455,2018-02-04 17:56:40,,,,,,,flegrei,earthquake,Bollettino
10454,2018-02-04 17:56:42.74,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
128,2018-02-04 17:56:56.35,40.818668,14.13617,1.41,D,0.6,0.3,flegrei,earthquake,Bollettino
10453,2018-02-05 04:18:49.6,40.818668,14.13667,0.85,D,-0.1,0.3,flegrei,earthquake,Bollettino
129,2018-02-05 04:19:10.95,40.820332,14.13233,0.88,D,0.7,0.3,flegrei,earthquake,Bollettino
10452,2018-02-05 04:56:35.63,40.8195,14.13333,0.73,D,0.4,0.3,flegrei,earthquake,Bollettino
10451,2018-02-05 04:56:40.83,,,,D,-0.3,0.3,flegrei,earthquake,Bollettino
10450,2018-02-05 04:56:49.87,,,,D,0.1,0.3,flegrei,earthquake,Bollettino
130,2018-02-05 05:34:23.02,40.818829,14.13417,0.75,D,0.7,0.3,flegrei,earthquake,Bollettino
10449,2018-02-05 08:43:07.68,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
10448,2018-02-05 08:43:41.69,,,,,,,flegrei,earthquake,Bollettino
10447,2018-02-05 09:43:35.35,40.8195,14.13383,0.83,D,-0.3,0.3,flegrei,earthquake,Bollettino
131,2018-02-05 11:04:12.6,40.819172,14.134,1.01,D,0.2,0.3,flegrei,earthquake,Bollettino
10445,2018-02-05 19:07:24.15,,,,D,-0.8,0.3,flegrei,earthquake,Bollettino
132,2018-02-05 23:18:30.62,40.820332,14.13233,1.21,D,0.1,0.3,flegrei,earthquake,Bollettino
10430,2018-02-12 20:35:05.46,40.82283,14.1315,1.22,D,-0.5,0.3,flegrei,earthquake,Bollettino
10429,2018-02-12 20:35:32.9,40.82283,14.1335,1.27,D,-0.8,0.3,flegrei,earthquake,Bollettino
10428,2018-02-12 20:35:50.71,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
10427,2018-02-12 20:36:39.57,,,,D,-0.5,0.3,flegrei,earthquake,Bollettino
10426,2018-02-12 20:37:00.15,40.825161,14.13067,1.13,D,-0.5,0.3,flegrei,earthquake,Bollettino
10425,2018-02-12 20:37:53.84,40.825001,14.13,0.97,D,-0.8,0.3,flegrei,earthquake,Bollettino
133,2018-02-16 01:44:07.68,40.823002,14.1475,1.35,D,-0.1,0.3,flegrei,earthquake,Bollettino
10408,2018-02-19 10:40:47.64,40.827171,14.14233,0.66,D,-0.5,0.3,flegrei,earthquake,Bollettino
10407,2018-02-19 10:40:50.21,40.827332,14.1425,0.59,D,-0.3,0.3,flegrei,earthquake,Bollettino
10406,2018-02-19 10:44:25.5,40.824669,14.1425,0.83,,,,flegrei,earthquake,Bollettino
10405,2018-02-19 10:44:28.01,40.82917,14.14267,0.8,D,-0.5,0.3,flegrei,earthquake,Bollettino
10404,2018-02-19 19:52:58.66,40.820671,14.15167,0.71,D,-0.1,0.3,flegrei,earthquake,Bollettino
10401,2018-02-22 06:12:06.47,40.824329,14.14217,1.3,D,-0.3,0.3,flegrei,earthquake,Bollettino
10398,2018-02-23 11:21:22.35,40.824829,14.14217,0.67,D,-0.5,0.3,flegrei,earthquake,Bollettino
