#EventID,Time,Latitude,Longitude,Depth/km,MagType,Magnitude,MagErr,Area,Type,Level
22805,2023-01-01 02:32:19.32,40.829201,14.1368,2.46,D,0.58,0.3,flegrei,earthquake,Bollettino
23103,2023-01-01 07:02:06.8,,,,,,,flegrei,earthquake,Bollettino
22806,2023-01-01 09:31:37.97,40.826,14.1472,2.02,D,-0.08,0.3,flegrei,earthquake,Bollettino
22809,2023-01-01 10:01:41.55,40.824699,14.1488,2.19,D,0.58,0.3,flegrei,earthquake,Bollettino
22808,2023-01-01 10:02:17.71,40.824001,14.1465,2.26,D,0.48,0.3,flegrei,earthquake,Bollettino
22807,2023-01-01 10:05:05.58,40.82,14.1457,0.51,D,1.62,0.3,flegrei,earthquake,Bollettino
23102,2023-01-01 16:20:39.76,,,,D,-0.76,0.3,flegrei,earthquake,Bollettino
23101,2023-01-01 16:20:53.83,,,,D,-0.76,0.3,flegrei,earthquake,Bollettino
22810,2023-01-01 18:30:45.81,40.828999,14.1397,0.5,D,0.77,0.3,flegrei,earthquake,Bollettino
23100,2023-01-01 21:00:57.46,,,,D,-0.08,0.3,flegrei,earthquake,Bollettino
22812,2023-01-01 21:02:35.32,,,,D,-0.08,0.3,flegrei,earthquake,Bollettino
23099,2023-01-01 21:03:17.86,,,,D,-0.27,0.3,flegrei,earthquake,Bollettino
23098,2023-01-01 21:04:33.88,,,,,,,flegrei,earthquake,Bollettino
22813,2023-01-01 21:07:31.8,,,,D,0.09,0.3,flegrei,earthquake,Bollettino
23097,2023-01-01 21:10:09.87,,,,D,-0.27,0.3,flegrei,earthquake,Bollettino
23096,2023-01-01 21:10:38.62,,,,D,-0.27,0.3,flegrei,earthquake,Bollettino
22814,2023-01-01 21:21:39.05,40.827801,14.1452,1.9,D,-0.08,0.3,flegrei,earthquake,Bollettino
23095,2023-01-01 21:24:54.18,,,,D,-0.27,0.3,flegrei,earthquake,Bollettino
22815,2023-01-01 21:35:14.08,40.829498,14.1463,1.88,D,0.09,0.3,flegrei,earthquake,Bollettino
22816,2023-01-01 21:41:43.8,,,,D,-0.08,0.3,flegrei,earthquake,Bollettino
22817,2023-01-01 22:38:35.97,,,,D,-0.08,0.3,flegrei,earthquake,Bollettino
